text,label
মেয়েটি  কাউকে বিয়ে করতে রাজি হয় না,প্রমিত
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,প্রমিত
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,প্রমিত
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,প্রমিত
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,প্রমিত
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,প্রমিত
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,প্রমিত
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,প্রমিত
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,প্রমিত
ক্লাসের সব মেয়েদের সাথেই মিশতাম,প্রমিত
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,প্রমিত
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,প্রমিত
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,প্রমিত
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,প্রমিত
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,প্রমিত
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,প্রমিত
তুমি আর আমার নেই আমি এটা মানতে পারছি না,প্রমিত
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,প্রমিত
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে,প্রমিত
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না,প্রমিত
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,প্রমিত
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,প্রমিত
আপনি নিজের পরিবার নিয়ে বসুন,প্রমিত
পরিবারে ছোট খাটো ঝামেলা থাকে,প্রমিত
আমাকে একটু সাহায্য  করবেন,প্রমিত
দয়া করে নাম পরিচয় গোপন রাখবেন,প্রমিত
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,প্রমিত
একসময় ছেলের মেয়েটাকে ভালো লাগবে,প্রমিত
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,প্রমিত
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,প্রমিত
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,প্রমিত
সে বিয়ে করে সুখী হতে চায়,প্রমিত
ছেলে ইউরোপে পড়াশোনা করে,প্রমিত
কিন্তু মেয়ের পরিবার রাজিনা,প্রমিত
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,প্রমিত
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়,প্রমিত
আজকে দেয়ালে পিঠ থেকে গেছে,প্রমিত
আজকে প্রায় ৮ দিন পানি নেই,প্রমিত
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,প্রমিত
যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না,প্রমিত
জানিনা পানি পাবো নাকি পাবো না,প্রমিত
পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই,প্রমিত
কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে,প্রমিত
যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান,প্রমিত
স্বামীরে অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না,প্রমিত
দুজনেই দুজনকে সন্দেহ করে,প্রমিত
স্ত্রী ধারণা স্বামী পরকীয়ায় আছে,প্রমিত
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না,প্রমিত
আজকাল ছোটরাও পাত্তা দিচ্ছে না,প্রমিত
কেউ আর ভয় পাচ্ছে না,প্রমিত
আমার এসব আর একটুও ভালো লাগছে না,প্রমিত
যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব,প্রমিত
মহিলার বয়স হবে ৮০ এর উপরে,প্রমিত
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম",প্রমিত
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,প্রমিত
হোকনা ভালো কিছুর শুরুটা এভাবেই,প্রমিত
তুমি আমার সাথে আর কথা বলবা না,প্রমিত
আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে,প্রমিত
রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে,প্রমিত
জীবন থেকে রঙ হারায় গেছে,প্রমিত
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,প্রমিত
আর কত ছুটি কাটাবো?,প্রমিত
পুরোটা দেখার অপেক্ষায় বসে আছি,প্রমিত
আপনি বেঁচে আছেন?,প্রমিত
আশেপাশে কেউ থাকলে কল দিয়েন,প্রমিত
দেখা করা যাবে,প্রমিত
কিছু পাইতে হলে কিছু ছাড়তে হবে,প্রমিত
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,প্রমিত
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,প্রমিত
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,প্রমিত
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,প্রমিত
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম,প্রমিত
কবে যে আমার স্বপ্নটা পূরণ হবে,প্রমিত
আপনি কি আপনার হাত ধুতে জানেন?,প্রমিত
আপনি কি খামারের পশু পছন্দ করেন?,প্রমিত
আমি আমার পরিবারের কথা বলতে চাই,প্রমিত
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন",প্রমিত
আমাদের সবাই একসময়ে একসাথে আছি,প্রমিত
আমরা খুব খুশি,প্রমিত
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,প্রমিত
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,প্রমিত
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,প্রমিত
খুব সুন্দর,প্রমিত
আপনার লেখা অসাধারণ,প্রমিত
আপনার ছবি দেখে খুব ভালো লেগছে,প্রমিত
অসাধারণ করে লিখেছেন,প্রমিত
আমি ভালো লাগলো আপনার কথা পড়ে,প্রমিত
আপনার এই পোস্টটি খুব উপকারী,প্রমিত
